k simulation binomial poisson
681 0 0 1.82906e-195
682 0 0 4.46984e-196
683 0 0 1.09074e-196
684 0 0 2.65774e-197
685 0 0 6.46652e-198
686 0 0 1.57107e-198
687 0 0 3.81142e-199
688 0 0 9.2331e-200
689 0 0 2.23345e-200
690 0 0 5.39482e-201
691 0 0 1.30121e-201
692 0 0 3.13393e-202
693 0 0 7.53712e-203
694 0 0 1.81007e-203
695 0 0 4.34069e-204
696 0 0 1.03944e-204
697 0 0 2.4855e-205
698 0 0 5.93482e-206
699 0 0 1.41507e-206
700 0 0 3.36922e-207
701 0 0 8.01052e-208
702 0 0 1.90183e-208
703 0 0 4.50885e-209
704 0 0 1.06744e-209
705 0 0 2.52349e-210
706 0 0 5.95724e-211
707 0 0 1.40435e-211
708 0 0 3.3059e-212
709 0 0 7.77128e-213
710 0 0 1.82424e-213
711 0 0 4.27624e-214
712 0 0 1.00099e-214
713 0 0 2.33986e-215
714 0 0 5.46186e-216
715 0 0 1.27316e-216
716 0 0 2.9636e-217
717 0 0 6.88888e-218
718 0 0 1.59909e-218
719 0 0 3.70675e-219
720 0 0 8.58043e-220
721 0 0 1.98346e-220
722 0 0 4.57862e-221
723 0 0 1.05547e-221
724 0 0 2.42971e-222
725 0 0 5.58555e-223
726 0 0 1.28226e-223
727 0 0 2.93963e-224
728 0 0 6.72991e-225
729 0 0 1.53862e-225
730 0 0 3.51283e-226
731 0 0 8.00918e-227
732 0 0 1.82358e-227
733 0 0 4.14639e-228
734 0 0 9.41506e-229
735 0 0 2.13493e-229
736 0 0 4.83454e-230
737 0 0 1.09329e-230
738 0 0 2.46905e-231
739 0 0 5.56844e-232
740 0 0 1.25415e-232
741 0 0 2.82086e-233
742 0 0 6.33615e-234
743 0 0 1.4213e-234
744 0 0 3.18392e-235
745 0 0 7.12285e-236
746 0 0 1.59134e-236
747 0 0 3.55052e-237
748 0 0 7.91114e-238
749 0 0 1.76038e-238
750 0 0 3.91195e-239
751 0 0 8.68165e-240
752 0 0 1.92413e-240
753 0 0 4.2588e-241
754 0 0 9.41379e-242
755 0 0 2.0781e-242
756 0 0 4.58135e-243
757 0 0 1.00866e-243
758 0 0 2.21782e-244
759 0 0 4.87004e-245
760 0 0 1.06799e-245
761 0 0 2.33901e-246
762 0 0 5.11594e-247
763 0 0 1.11751e-247
764 0 0 2.43784e-248
765 0 0 5.3112e-249
766 0 0 1.15561e-249
767 0 0 2.51111e-250
768 0 0 5.44946e-251
769 0 0 1.18107e-251
770 0 0 2.55643e-252
771 0 0 5.52622e-253
772 0 0 1.19305e-253
773 0 0 2.57234e-254
774 0 0 5.53907e-255
775 0 0 1.1912e-255
776 0 0 2.55841e-256
777 0 0 5.4878e-257
778 0 0 1.17562e-257
779 0 0 2.51524e-258
780 0 0 5.37444e-259
781 0 0 1.14691e-259
782 0 0 2.4444e-260
783 0 0 5.20307e-261
784 0 0 1.1061e-261
785 0 0 2.3484e-262
786 0 0 4.97964e-263
787 0 0 1.05456e-263
788 0 0 2.23046e-264
789 0 0 4.71158e-265
790 0 0 9.94003e-266
791 0 0 2.0944e-266
792 0 0 4.40741e-267
793 0 0 9.26316e-268
794 0 0 1.94441e-268
795 0 0 4.07633e-269
796 0 0 8.53502e-270
797 0 0 1.78482e-270
798 0 0 3.7277e-271
799 0 0 7.77576e-272
800 0 0 1.61995e-272
801 0 0 3.37068e-273
802 0 0 7.00475e-274
803 0 0 1.45387e-274
804 0 0 3.01383e-275
805 0 0 6.23981e-276
806 0 0 1.29028e-276
807 0 0 2.66477e-277
808 0 0 5.49664e-278
809 0 0 1.13239e-278
810 0 0 2.33003e-279
811 0 0 4.78839e-280
812 0 0 9.82838e-281
813 0 0 2.01484e-281
814 0 0 4.12539e-282
815 0 0 8.43637e-283
816 0 0 1.72312e-283
817 0 0 3.51513e-284
818 0 0 7.16204e-285
819 0 0 1.45748e-285
820 0 0 2.96235e-286
821 0 0 6.0137e-287
822 0 0 1.21932e-287
823 0 0 2.46926e-288
824 0 0 4.99447e-289
825 0 0 1.00898e-289
826 0 0 2.03588e-290
827 0 0 4.10295e-291
828 0 0 8.25875e-292
829 0 0 1.66038e-292
830 0 0 3.3341e-293
831 0 0 6.68693e-294
832 0 0 1.33953e-294
833 0 0 2.68013e-295
834 0 0 5.35598e-296
835 0 0 1.06906e-296
